new_path,old_path,category
"dokumentacja/ANALYSIS_REPORT.md","ANALYSIS_REPORT.md","report"
"dokumentacja/CLAUDE.md","CLAUDE.md","experiment"
"dokumentacja/CLAUDE_old.md","CLAUDE_old.md","experiment"
"dokumentacja/CODENET_FINAL_SESSION_SUMMARY.md","CODENET_FINAL_SESSION_SUMMARY.md","codenet"
"dokumentacja/CODENET_IMPLEMENTATION_SUMMARY.md","CODENET_IMPLEMENTATION_SUMMARY.md","codenet"
"dokumentacja/CODENET_RULE_VALIDATION_SUMMARY.md","CODENET_RULE_VALIDATION_SUMMARY.md","codenet"
"dokumentacja/COMPLETE-DEPLOYMENT-GUIDE.md","COMPLETE-DEPLOYMENT-GUIDE.md","guide"
"dokumentacja/CS_Automation_Technical_Documentation.md","CS_Automation_Technical_Documentation.md","architecture"
"dokumentacja/CS_Product_Requirements_Document.md","CS_Product_Requirements_Document.md","product"
"dokumentacja/CS_Technical_Architecture.md","CS_Technical_Architecture.md","architecture"
"dokumentacja/DEVELOPMENT_PROGRESS_UPDATE.md","DEVELOPMENT_PROGRESS_UPDATE.md","status"
"dokumentacja/DEV_ENVIRONMENT_SETUP.md","DEV_ENVIRONMENT_SETUP.md","setup"
"dokumentacja/E2E_TESTING_SUMMARY.md","E2E_TESTING_SUMMARY.md","testing"
"dokumentacja/FINAL_CODENET_STATUS.md","FINAL_CODENET_STATUS.md","codenet"
"dokumentacja/PHASE_1_DEVELOPMENT_KICKOFF.md","PHASE_1_DEVELOPMENT_KICKOFF.md","phase"
"dokumentacja/PHASE_1_EXECUTION_STATUS.md","PHASE_1_EXECUTION_STATUS.md","phase"
"dokumentacja/PHASE_2_COMPLETION_REPORT.md","PHASE_2_COMPLETION_REPORT.md","phase"
"dokumentacja/PHASE_3_COMPLETION_REPORT.md","PHASE_3_COMPLETION_REPORT.md","phase"
"dokumentacja/PRIVACY_POLICY.md","PRIVACY_POLICY.md","policy"
"dokumentacja/PROJECT_CODENET_PLAN_STATUS.md","PROJECT_CODENET_PLAN_STATUS.md","codenet"
"dokumentacja/PROJECT_PLAN.md","PROJECT_PLAN.md","plan"
"dokumentacja/RENAME_SUMMARY.md","RENAME_SUMMARY.md","change-log"
"dokumentacja/SERENA_SETUP.md","SERENA_SETUP.md","setup"
"dokumentacja/SESSION_FINAL_SUMMARY.md","SESSION_FINAL_SUMMARY.md","summary"
"dokumentacja/STREAM_A_CORE_INFRASTRUCTURE.md","STREAM_A_CORE_INFRASTRUCTURE.md","stream"
"dokumentacja/STREAM_B_API_INTEGRATION.md","STREAM_B_API_INTEGRATION.md","stream"
"dokumentacja/STREAM_C_FRONTEND_FOUNDATION.md","STREAM_C_FRONTEND_FOUNDATION.md","stream"
"dokumentacja/STREAM_D_SYSTEM_INTEGRATION.md","STREAM_D_SYSTEM_INTEGRATION.md","stream"
"dokumentacja/TASK_11_3_IMPLEMENTATION_SUMMARY.md","TASK_11_3_IMPLEMENTATION_SUMMARY.md","task"
"dokumentacja/TASK_12_IMPLEMENTATION_SUMMARY.md","TASK_12_IMPLEMENTATION_SUMMARY.md","task"
"dokumentacja/TASK_9_3_IMPLEMENTATION_SUMMARY.md","TASK_9_3_IMPLEMENTATION_SUMMARY.md","task"
"dokumentacja/TEAM_STARTUP_GUIDE.md","TEAM_STARTUP_GUIDE.md","guide"
"dokumentacja/TEAM_WORKFLOWS.md","TEAM_WORKFLOWS.md","process"
"dokumentacja/TESTING_REPORT.md","TESTING_REPORT.md","testing"
"dokumentacja/WARP.md","WARP.md","reference"
"dokumentacja/chat_err.md","chat_err.md","incident"
"dokumentacja/err2.md","err2.md","incident"
"dokumentacja/kilo_code_task_sep-27-2025_12-41-43-pm.md","kilo_code_task_sep-27-2025_12-41-43-pm.md","archive"
"dokumentacja/setup-privacy-hosting.md","setup-privacy-hosting.md","policy"
"dokumentacja/legacy-docs","docs","legacy"
"dokumentacja/claude-flow","claude-flow","experiment"
"dokumentacja/claudedocs","claudedocs","experiment"
"dokumentacja/coordination","coordination","process"
"dokumentacja/serena-installation","serena-installation","setup"
"dokumentacja/legacy-docs/ci-cd-pipeline.yml",".github/workflows/ci-cd-pipeline.yml","legacy-ci"
